"Metric","Covariate model","Predictor","Test statistic","p","Functional Variance Explained (%)","Semi-partial r"
"Raw GE","Fully adjusted","Age at MRI","69.98","<0.001","0.42","0.019"
"Raw GE","Fully adjusted","TIV","29687.79","<0.001","41.47","0.455"
"Raw GE","Fully adjusted","Sex","466.67","<0.001","12.48","0.050"
"Raw GE","Fully adjusted","Relative motion","8926.44","<0.001","13.78","0.249"
"Raw ACC","Unadjusted","Group (VPT vs FT)","9.82","<0.001","0.83","0.091"
"Raw ACC","TIV","Group (VPT vs FT)","38.89","<0.001","0.83","0.013"
"Raw ACC","TIV","TIV","2493.21","<0.001","41.72","0.152"
"Raw ACC","Age at MRI","Group (VPT vs FT)","102.72","<0.001","0.83","0.023"
"Raw ACC","Age at MRI","Age at MRI","33.02","<0.001","0.32","0.016"
"Raw ACC","Sex","Group (VPT vs FT)","67.98","<0.001","0.83","0.017"
"Raw ACC","Sex","Sex","535.83","<0.001","10.79","0.077"
"Raw ACC","Relative motion","Group (VPT vs FT)","305.41","<0.001","0.83","0.051"
"Raw ACC","Relative motion","Relative motion","617.47","<0.001","12.69","0.096"
"Raw ACC","Fully adjusted","Group (VPT vs FT)","176.64","<0.001","0.83","0.029"
"Raw ACC","Fully adjusted","Age at MRI","6.15","<0.001","0.32","0.003"
"Raw ACC","Fully adjusted","TIV","3356.17","<0.001","41.72","0.112"
"Raw ACC","Fully adjusted","Sex","9.23","<0.001","10.79","0.006"
"Raw ACC","Fully adjusted","Relative motion","595.17","<0.001","12.69","0.055"
