density_pct,pct_single_comp_all,pct_single_comp_vpt,pct_single_comp_ft
56.75,100,100,100
57,100,100,100
57.25,100,100,100
57.5,100,100,100
57.75,100,100,100
58,100,100,100
58.25,100,100,100
58.5,100,100,100
58.75,100,100,100
59,100,100,100
59.25,100,100,100
59.5,100,100,100
59.75,100,100,100
60,100,100,100
60.25,100,100,100
60.5,100,100,100
60.75,100,100,100
61,100,100,100
61.25,100,100,100
61.5,100,100,100
61.75,100,100,100
62,100,100,100
62.25,100,100,100
62.5,100,100,100
62.75,100,100,100
63,100,100,100
63.25,100,100,100
63.5,100,100,100
63.75,100,100,100
64,100,100,100
64.25,100,100,100
64.5,100,100,100
64.75,100,100,100
65,100,100,100
65.25,100,100,100
65.5,100,100,100
65.75,100,100,100
66,100,100,100
66.25,100,100,100
66.5,100,100,100
66.75,100,100,100
67,100,100,100
67.25,100,100,100
67.5,100,100,100
67.75,100,100,100
68,100,100,100
68.25,100,100,100
68.5,100,100,100
68.75,100,100,100
69,100,100,100
69.25,100,100,100
69.5,100,100,100
69.75,100,100,100
70,100,100,100
70.25,100,100,100
70.5,100,100,100
70.75,100,100,100
71,100,100,100
71.25,100,100,100
71.5,100,100,100
71.75,100,100,100
72,100,100,100
72.25,100,100,100
72.5,100,100,100
72.75,100,100,100
73,100,100,100
73.25,100,100,100
73.5,100,100,100
73.75,100,100,100
74,100,100,100
74.25,100,100,100
74.5,100,100,100
74.75,100,100,100
75,100,100,100
75.25,100,100,100
75.5,100,100,100
75.75,100,100,100
76,100,100,100
76.25,100,100,100
76.5,100,100,100
76.75,100,100,100
77,100,100,100
77.25,100,100,100
77.5,100,100,100
77.75,100,100,100
78,100,100,100
78.25,100,100,100
78.5,100,100,100
78.75,100,100,100
79,100,100,100
79.25,100,100,100
79.5,100,100,100
79.75,100,100,100
80,100,100,100
80.25,100,100,100
80.5,100,100,100
80.75,100,100,100
81,100,100,100
81.25,100,100,100
81.5,100,100,100
81.75,100,100,100
82,100,100,100
82.25,100,100,100
82.5,100,100,100
82.75,100,100,100
83,100,100,100
83.25,100,100,100
83.5,100,100,100
83.75,100,100,100
84,100,100,100
84.25,100,100,100
84.5,100,100,100
84.75,100,100,100
85,100,100,100
85.25,100,100,100
85.5,100,100,100
85.75,100,100,100
86,100,100,100
86.25,100,100,100
86.5,100,100,100
86.75,100,100,100
87,100,100,100
87.25,100,100,100
87.5,100,100,100
87.75,100,100,100
88,100,100,100
88.25,100,100,100
88.5,100,100,100
88.75,100,100,100
89,100,100,100
89.25,100,100,100
89.5,100,100,100
89.75,100,100,100
90,100,100,100
90.25,100,100,100
90.5,100,100,100
90.75,100,100,100
91,100,100,100
91.25,100,100,100
91.5,100,100,100
91.75,100,100,100
92,100,100,100
92.25,100,100,100
92.5,100,100,100
92.75,100,100,100
93,100,100,100
93.25,100,100,100
93.5,100,100,100
93.75,100,100,100
94,100,100,100
94.25,100,100,100
94.5,100,100,100
94.75,100,100,100
95,100,100,100
95.25,100,100,100
95.5,100,100,100
95.75,100,100,100
96,100,100,100
96.25,100,100,100
96.5,100,100,100
96.75,100,100,100
97,100,100,100
97.25,100,100,100
97.5,100,100,100
97.75,100,100,100
98,100,100,100
98.25,100,100,100
98.5,100,100,100
98.75,100,100,100
99,100,100,100
99.25,100,100,100
99.5,100,100,100
99.75,100,100,100
100,100,100,100
