"Exposure","Selection_Frequency","Pct","Stable"
"bpd2",0.58,58,FALSE
"bw_z",0.22,22,FALSE
"ga",0.21,21,FALSE
"globalbrainscore2",0.94,94,TRUE
"anyrop",0.24,24,FALSE
"sepsis2",0.4,40,FALSE
