"Exposure","Selection_Frequency","Pct","Stable"
"bpd2",0.58,58,FALSE
"bw_z",0.3,30,FALSE
"ga",0.24,24,FALSE
"globalcatmod",0.91,91,TRUE
"anyrop",0.24,24,FALSE
"sepsis2",0.35,35,FALSE
