"metric","metric_label","K","achieved_cumPVE","T_severity","p_severity_perm","N","exposure_pc1_pve"
"str","Strength",3,0.999991587450297,1070.822705333,0.000999,169,44.3
"rand_norm_wei_SW","Small-Worldness (SW)",5,0.995390983446654,160.986061978209,0.000999,169,44.3
"rand_norm_wei_ACC","Clustering (ACC)",5,0.997621321324131,2.10764542770341,0.011,171,44.3
"rand_norm_wei_GE","Global Efficiency (GE)",3,0.995891491826427,0.0993487613106867,0.115,170,44.3
