"Exposure","Selection_Frequency","Pct","Stable"
"bpd2",0.47,47,FALSE
"bw_z",0.25,25,FALSE
"ga",0.17,17,FALSE
"globalbrainscore2",0.88,88,TRUE
"anyrop",0.22,22,FALSE
"sepsis2",0.29,29,FALSE
