"Exposure","Selection_Frequency","Pct","Stable"
"bpd2",0.41,41,FALSE
"bw_z",0.55,55,FALSE
"ga",0.12,12,FALSE
"globalbrainscore2",0.24,24,FALSE
"anyrop",0.26,26,FALSE
"sepsis2",0.26,26,FALSE
