"Exposure","Selection_Frequency","Pct","Stable"
"bpd2",0.37,37,FALSE
"bw_z",0.22,22,FALSE
"ga",0.61,61,FALSE
"globalbrainscore2",0.69,69,FALSE
"anyrop",0.27,27,FALSE
"sepsis2",0.13,13,FALSE
